date,mean autumn bottom temperature
1949,5.54
1950,6.53
1951,6.2
1953,5.59
1954,5.8
1956,5.61
1957,5.99
1958,5.87
1959,5.4
1960,5.29
1961,6.33
1962,5.85
1963,4.9
1964,5.4
1965,6.64
1966,6.27
1967,6.58
1968,5.55
1969,5.95
1970,6.06
1971,4.82
1972,6.36
1973,5.59
1974,5.72
1975,5.77
1976,4.92
1977,6.14
1978,5.54
1979,6.05
1980,6.29
1981,5.28
1982,5.76
1983,6.27
1984,5.37
1985,6.21
1986,5.43
1987,5.47
1988,5.69
1989,6.15
1990,6.07
1991,4.41
1992,5.55
1993,5.08
1994,6.39
1995,6.23
1996,4.9
1997,6.14
1998,5.85
1999,5.33
2000,5.78
2001,6.58
2002,6.28
2003,5.34
2004,5.58
2005,4.88
2006,5.19
2007,6.39
2008,6.26
2009,5.33
2010,4.89
2011,5.17
2012,5.78
2013,5.03
2014,5.67
2015,5.99
2016,6.07
2017,5.66
2018,5.25
2019,6.55
2020,6.68
2021,6.63
2022,6.15
2023,6.35
