date,mean summer Secchi depth
1949,1.91
1950,2.16
1951,4.2
1953,2.34
1954,3.82
1956,2.91
1957,2.3
1958,2.55
1959,2.33
1960,2.66
1961,2.1
1962,1.6
1963,1.72
1964,1.19
1965,1.04
1966,1.08
1967,1.72
1968,1.44
1969,0.97
1970,2.48
1971,1.7
1972,1.28
1973,0.93
1974,1.16
1975,2.12
1977,2.2
1978,1.18
1979,1.5
1980,1.91
1981,1.75
1982,1.84
1983,2.64
1984,2.13
1985,2.16
1986,2.75
1987,3.45
1988,1.74
1989,1.84
1990,1.94
1991,1.57
1992,1.59
1993,1.36
1994,2.42
1995,1.79
1996,1.47
1997,2.93
1998,2.38
1999,2.73
2000,2.03
2001,1.84
2002,2.19
2003,2.35
2004,1.75
2005,2.23
2006,2.46
2007,1.8
2008,2.71
2009,2.28
2010,2.15
2011,1.82
2012,1.46
2013,4.64
2014,1.8
2015,2.55
2016,2.93
2017,1.67
2018,2.74
2019,1.9
2020,3.4
2021,3.19
2022,3.24
2023,1.9
