date,mean annual surface conductivity
1977,393.85
1978,429.06
1980,416.05
1983,449.96
1984,433.81
1986,426.32
1988,416.03
1989,424.37
1990,442.99
1991,489.4
1992,440.31
1993,421.43
1994,439.16
1995,433.47
1996,425.17
1998,420.63
1999,435.59
2000,423.51
2001,431.29
2002,418.8
2003,410.69
2004,422.84
2005,439.43
2006,446.8
2007,446.77
2008,432.74
2009,437.79
2010,468.61
2011,460.7
2012,458.48
2013,486.58
2014,468.24
2015,454.67
2016,458.1
2017,452.57
2018,434.41
2019,457.21
2020,462.04
2021,491.66
2022,482.69
2023,482.52
