date,mean winter surface oxygen concentration
1950,8.61
1953,11.06
1957,6.51
1958,8.53
1959,10.01
1960,7.0
1961,6.2
1962,6.49
1963,7.92
1964,5.67
1965,3.25
1967,7.09
1968,9.41
1969,4.84
1972,4.82
1973,3.62
1974,5.57
1975,5.92
1976,4.16
1977,6.05
1978,4.62
1981,8.02
1983,7.11
1984,5.85
1986,6.48
1988,5.19
1989,6.16
1990,6.18
1991,6.8
1992,8.65
1994,9.12
1996,6.7
1998,7.69
1999,8.14
2001,5.83
2002,8.66
2003,7.75
2004,8.6
2005,9.3
2007,7.74
2008,8.25
2010,7.22
2011,7.89
2012,9.03
2013,10.85
2014,7.27
2015,7.34
2016,7.54
2017,7.51
2018,8.43
2019,8.27
2020,7.0
2021,8.05
2022,7.75
2023,8.14
