date,minimum bottom oxygen concentration
1950,0.0
1953,0.0
1954,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1977,0.0
1978,0.0
1980,0.0
1983,0.0
1984,0.0
1986,0.1
1988,0.1
1989,0.0
1990,0.05
1991,0.05
1992,0.05
1993,0.05
1994,0.1
1995,0.05
1996,0.05
1998,0.0
1999,0.05
2000,0.05
2001,0.1
2002,0.0
2003,0.1
2004,0.05
2005,0.0
2006,0.1
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.1
2014,0.0
2015,0.15
2016,0.25
2017,0.3
2018,0.3
2019,0.0
2020,0.0
2021,0.3
2022,0.4
2023,0.0
