date,mean spring Schmidt stability
1949,126.09
1950,68.5
1951,98.19
1953,121.94
1954,29.07
1956,63.42
1957,82.21
1958,34.63
1959,149.26
1960,109.7
1961,177.3
1962,38.4
1963,76.08
1964,86.95
1965,24.47
1966,117.8
1967,114.28
1968,103.26
1969,28.78
1970,61.55
1971,228.07
1972,105.17
1973,44.06
1974,134.43
1975,74.9
1976,63.7
1977,66.31
1978,56.0
1979,31.03
1980,28.21
1981,81.65
1982,101.39
1983,76.76
1984,67.59
1985,58.41
1986,53.67
1987,65.18
1988,146.97
1989,122.31
1990,101.16
1991,105.76
1992,57.57
1993,168.63
1994,86.11
1995,85.4
1996,126.41
1997,95.93
1998,77.59
1999,105.89
2000,190.32
2001,57.13
2002,157.44
2003,107.3
2004,84.31
2005,128.72
2006,79.57
2007,204.06
2008,102.04
2009,158.16
2010,95.96
2011,190.31
2012,182.84
2013,64.57
2014,202.93
2015,125.25
2016,113.29
2017,158.25
2018,155.64
2019,112.66
2020,172.82
2021,100.19
2022,185.64
2023,159.41
