date,mean annual bottom temperature
1950,5.81
1953,4.84
1954,5.13
1956,5.01
1957,4.97
1958,5.16
1959,5.05
1960,5.01
1961,5.79
1962,5.18
1963,4.35
1964,4.85
1965,5.41
1966,5.64
1967,5.93
1968,4.93
1969,5.19
1972,5.79
1973,5.03
1974,4.99
1975,5.49
1977,5.51
1978,4.78
1980,5.44
1983,5.47
1984,4.58
1986,4.95
1988,5.36
1989,5.53
1990,5.38
1991,4.49
1992,5.13
1993,4.49
1994,5.63
1995,5.78
1996,4.49
1998,5.18
1999,4.65
2000,5.36
2001,5.91
2002,5.74
2003,4.9
2004,5.14
2005,4.41
2006,4.82
2007,5.97
2008,5.71
2009,4.65
2010,4.37
2011,4.72
2012,4.99
2013,4.67
2014,5.29
2015,5.55
2016,5.67
2017,5.13
2018,4.85
2019,5.87
2020,6.33
2021,5.9
2022,5.77
2023,5.89
