date,mean autumn bottom oxygen concentration
1949,0.0
1950,0.13
1951,0.0
1953,0.06
1954,0.09
1956,0.0
1957,0.04
1958,0.02
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.38
1966,0.15
1967,0.06
1968,0.03
1969,0.13
1970,0.1
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.03
1976,0.0
1977,0.0
1978,0.0
1979,0.08
1980,0.27
1981,0.01
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.12
1987,0.0
1988,0.1
1989,0.02
1990,0.05
1991,0.07
1992,0.07
1993,0.06
1994,0.17
1995,0.09
1996,0.07
1997,0.07
1998,0.18
1999,0.11
2000,0.08
2001,0.1
2002,0.03
2003,0.12
2004,0.1
2005,0.02
2006,0.1
2007,0.12
2008,0.02
2009,0.02
2010,0.1
2011,0.01
2012,0.11
2013,0.2
2014,0.13
2015,0.2
2016,0.3
2017,0.3
2018,0.34
2019,0.0
2020,0.1
2021,0.3
2022,0.4
2023,0.0
