date,mean annual hypolimnetic density
1977,1000.2301
1978,1000.2821
1980,1000.2537
1983,1000.2705
1984,1000.2854
1986,1000.277
1988,1000.2569
1989,1000.2459
1990,1000.2635
1991,1000.3225
1992,1000.2673
1993,1000.2737
1994,1000.2485
1995,1000.257
1996,1000.2791
1998,1000.2588
1999,1000.274
2000,1000.266
2001,1000.239
2002,1000.2386
2003,1000.2692
2004,1000.2611
2005,1000.2755
2006,1000.2854
2007,1000.2478
2008,1000.2528
2009,1000.2869
2010,1000.2889
2011,1000.2979
2012,1000.2786
2013,1000.3209
2014,1000.291
2015,1000.2758
2016,1000.2663
2017,1000.275
2018,1000.2878
2019,1000.24
2020,1000.2452
2021,1000.2644
2022,1000.2859
2023,1000.2743
