date,mean summer Schmidt stability
1949,971.96
1950,1101.75
1951,795.49
1953,883.54
1954,648.65
1956,714.29
1957,857.12
1958,991.99
1959,985.93
1960,808.3
1961,832.39
1962,886.88
1963,987.29
1964,1025.56
1965,747.16
1966,714.35
1967,895.03
1968,1099.56
1969,787.36
1970,1029.55
1971,951.16
1972,717.26
1973,761.78
1974,838.86
1975,761.77
1977,871.93
1978,786.63
1979,909.94
1980,701.7
1981,807.17
1982,858.93
1983,1107.6
1984,813.16
1985,853.93
1986,916.64
1987,853.5
1988,1020.52
1989,1018.97
1990,897.44
1991,970.58
1992,1030.61
1993,834.78
1994,1055.76
1995,918.85
1996,873.34
1997,909.15
1998,1065.46
1999,936.64
2000,857.09
2001,894.14
2002,1040.46
2003,1313.22
2004,926.65
2005,1075.38
2006,1073.65
2007,902.59
2008,963.61
2009,899.94
2010,982.53
2011,1111.5
2012,1084.76
2013,907.76
2014,1015.42
2015,1077.76
2016,929.02
2017,1106.09
2018,1346.01
2019,1380.7
2020,1215.54
2021,976.6
2022,1314.46
2023,1055.13
