date,mean autumn epilimnion 0-10 m oxygen concentration
1949,7.01
1950,8.07
1951,7.02
1953,6.82
1954,8.63
1956,6.25
1957,9.45
1958,7.23
1959,6.52
1960,7.95
1961,7.07
1962,8.83
1963,6.54
1964,6.51
1965,7.55
1966,7.27
1967,5.69
1968,7.67
1969,6.68
1970,8.45
1971,7.6
1972,7.34
1973,7.43
1974,5.93
1975,6.3
1976,9.56
1977,7.85
1978,7.44
1979,7.62
1980,7.29
1981,7.1
1982,6.55
1983,7.44
1984,7.51
1985,7.33
1986,6.78
1987,6.79
1988,7.26
1989,7.92
1990,7.69
1991,8.07
1992,6.83
1993,6.8
1994,7.9
1995,8.45
1996,8.74
1997,7.71
1998,8.87
1999,7.95
2000,6.91
2001,7.21
2002,8.33
2003,8.34
2004,7.25
2005,7.0
2006,7.7
2007,7.37
2008,7.75
2009,7.02
2010,7.05
2011,6.94
2012,7.5
2013,8.12
2014,7.83
2015,8.11
2016,6.87
2017,7.93
2018,8.7
2019,8.49
2020,7.84
2021,8.39
2022,9.09
2023,7.97
