date,mean summer hypolimnetic oxygen concentration
1949,1.25
1950,1.67
1951,2.44
1953,0.25
1954,1.16
1956,0.57
1957,0.24
1958,2.47
1959,0.87
1960,0.21
1961,0.33
1962,0.5
1963,0.16
1964,0.26
1965,0.2
1966,0.5
1967,0.19
1968,0.21
1969,0.39
1970,0.33
1971,0.5
1972,0.05
1973,0.13
1974,0.07
1975,0.35
1977,0.23
1978,0.44
1979,0.18
1980,0.51
1981,0.18
1982,0.01
1983,0.38
1984,1.11
1985,0.08
1986,0.93
1987,1.59
1988,1.67
1989,0.29
1990,0.17
1991,0.51
1992,0.77
1993,0.45
1994,2.06
1995,2.42
1996,2.71
1997,0.73
1998,0.54
1999,2.09
2000,1.53
2001,1.02
2002,1.34
2003,1.59
2004,1.04
2005,2.39
2006,1.48
2007,0.18
2008,0.87
2009,3.01
2010,1.48
2011,0.9
2012,1.32
2013,3.37
2014,0.4
2015,1.77
2016,2.09
2017,0.49
2018,3.78
2019,0.58
2020,1.32
2021,1.84
2022,1.64
2023,1.26
