date,mean summer epilimnion 0-10 m oxygen concentration
1949,6.32
1950,7.48
1951,7.12
1953,7.46
1954,7.07
1956,7.96
1957,8.02
1958,9.57
1959,8.2
1960,7.21
1961,6.57
1962,9.31
1963,7.87
1964,7.85
1965,8.96
1966,8.17
1967,6.81
1968,9.22
1969,9.63
1970,7.73
1971,11.72
1972,7.41
1973,6.76
1974,8.8
1975,7.03
1977,8.07
1978,9.54
1979,9.88
1980,9.99
1981,9.34
1982,9.51
1983,7.8
1984,7.58
1985,9.49
1986,9.62
1987,9.52
1988,8.71
1989,8.64
1990,8.32
1991,7.9
1992,9.8
1993,8.11
1994,8.93
1995,9.03
1996,9.77
1997,9.92
1998,9.23
1999,8.39
2000,6.9
2001,9.02
2002,8.32
2003,9.05
2004,8.2
2005,9.26
2006,9.14
2007,7.14
2008,6.85
2009,9.29
2010,8.52
2011,9.37
2012,8.6
2013,8.56
2014,8.88
2015,8.59
2016,8.51
2017,8.39
2018,11.71
2019,9.93
2020,11.11
2021,9.34
2022,9.62
2023,8.31
