date,mean spring epilimnion 5-10 m oxygen concentration
1949,11.4
1950,13.17
1951,11.69
1953,11.2
1954,10.97
1956,11.36
1957,10.62
1958,11.58
1959,8.79
1960,7.14
1961,6.79
1962,11.74
1963,3.99
1964,6.79
1965,8.65
1966,9.1
1967,9.23
1968,11.47
1969,9.47
1970,9.79
1971,3.81
1972,4.05
1973,7.38
1974,5.41
1975,9.72
1976,10.03
1977,10.01
1978,10.26
1979,9.95
1980,10.61
1981,8.8
1982,10.99
1983,9.6
1984,12.96
1985,9.9
1986,10.72
1987,11.74
1988,10.41
1989,9.61
1990,10.42
1991,10.36
1992,10.95
1993,12.98
1994,11.37
1995,11.25
1996,12.1
1997,10.74
1998,11.27
1999,11.14
2000,11.89
2001,11.15
2002,10.66
2003,10.86
2004,11.9
2005,11.53
2006,12.24
2007,10.09
2008,11.01
2009,12.23
2010,10.35
2011,11.76
2012,11.67
2013,12.49
2014,10.16
2015,10.98
2016,11.83
2017,9.72
2018,13.25
2019,11.15
2020,13.0
2021,11.13
2022,12.21
2023,10.62
