date,mean early autumn Schmidt stability
1949,843.27
1950,677.38
1951,664.3
1953,693.76
1954,643.23
1956,628.7
1957,634.51
1958,774.91
1959,756.41
1960,647.45
1961,851.41
1962,721.07
1963,599.87
1964,800.22
1965,584.57
1966,603.5
1967,579.35
1968,631.07
1969,613.39
1970,811.33
1971,642.96
1972,528.94
1973,692.62
1974,540.3
1975,623.59
1976,580.44
1977,711.12
1978,681.85
1979,618.24
1980,802.61
1981,711.52
1982,737.81
1983,837.82
1984,556.9
1985,875.41
1986,645.68
1987,756.25
1988,812.92
1989,738.42
1990,780.52
1991,915.72
1992,716.41
1993,614.18
1994,642.54
1995,652.81
1996,584.03
1997,895.67
1998,686.54
1999,832.48
2000,715.48
2001,692.57
2002,799.9
2003,833.53
2004,824.49
2005,724.7
2006,843.53
2007,715.54
2008,736.37
2009,819.14
2010,636.98
2011,920.34
2012,754.39
2013,766.18
2014,750.94
2015,747.68
2016,864.18
2017,827.62
2018,852.65
2019,901.99
2020,847.55
2021,847.64
2022,941.93
2023,953.52
