date,mean annual surface temperature
1950,13.18
1953,13.59
1954,11.74
1956,12.27
1957,12.38
1958,12.69
1959,13.92
1960,12.2
1961,13.68
1962,12.23
1963,12.85
1964,13.01
1965,11.83
1966,13.35
1967,13.76
1968,13.4
1969,12.01
1972,11.72
1973,12.12
1974,12.25
1975,12.59
1977,12.11
1978,11.77
1980,12.16
1983,13.23
1984,11.58
1986,12.44
1988,13.24
1989,13.1
1990,12.56
1991,12.43
1992,12.38
1993,12.85
1994,12.96
1995,13.5
1996,11.71
1998,12.8
1999,12.48
2000,14.41
2001,13.7
2002,13.68
2003,14.07
2004,13.0
2005,13.32
2006,14.57
2007,13.89
2008,13.03
2009,14.14
2010,12.09
2011,13.62
2012,13.4
2013,11.96
2014,13.82
2015,13.65
2016,13.48
2017,13.59
2018,14.4
2019,14.37
2020,14.14
2021,13.18
2022,14.73
2023,14.04
