date,mean annual bottom conductivity
1977,462.11
1978,508.55
1980,490.46
1983,515.29
1984,513.21
1986,496.21
1988,478.3
1989,474.05
1990,499.55
1991,561.18
1992,503.51
1993,488.9
1994,498.64
1995,499.39
1996,491.39
1998,480.34
1999,492.11
2000,499.95
2001,485.0
2002,480.61
2003,481.24
2004,486.12
2005,488.15
2006,514.11
2007,495.23
2008,498.53
2009,522.46
2010,513.57
2011,531.33
2012,523.01
2013,572.61
2014,539.3
2015,525.73
2016,516.59
2017,509.61
2018,513.54
2019,505.95
2020,516.17
2021,542.12
2022,549.12
2023,540.97
