date,mean winter epilimnion 0-5 m oxygen concentration
1950,8.59
1953,10.84
1957,6.45
1958,8.48
1959,9.52
1960,6.74
1961,6.04
1962,6.38
1963,6.81
1964,5.29
1965,3.18
1967,7.25
1968,8.91
1969,4.86
1972,4.73
1973,3.13
1974,5.47
1975,5.68
1976,4.17
1977,6.01
1978,4.59
1981,7.81
1983,7.06
1984,5.98
1986,6.43
1988,5.17
1989,6.14
1990,6.14
1991,6.79
1992,8.6
1994,9.05
1996,6.69
1998,7.63
1999,8.1
2001,5.79
2002,8.66
2003,7.72
2004,8.56
2005,9.28
2007,7.74
2008,8.21
2010,7.2
2011,7.8
2012,9.0
2013,10.91
2014,7.2
2015,7.23
2016,7.54
2017,7.45
2018,8.41
2019,8.22
2020,6.96
2021,8.01
2022,7.71
2023,8.1
