date,mean autumn surface temperature
1949,14.84
1950,13.62
1951,16.5
1953,14.58
1954,14.01
1956,12.71
1957,14.17
1958,13.36
1959,14.5
1960,12.2
1961,16.16
1962,13.95
1963,13.9
1964,13.43
1965,13.75
1966,15.8
1967,14.65
1968,14.4
1969,14.96
1970,15.26
1971,13.79
1972,11.95
1973,12.67
1974,10.94
1975,12.99
1976,15.28
1977,13.47
1978,13.61
1979,14.58
1980,13.49
1981,13.73
1982,14.93
1983,14.27
1984,13.69
1985,15.44
1986,14.75
1987,14.72
1988,14.09
1989,14.23
1990,15.21
1991,14.61
1992,13.76
1993,12.7
1994,13.57
1995,15.84
1996,12.64
1997,14.9
1998,13.33
1999,14.68
2000,14.22
2001,14.82
2002,13.82
2003,13.24
2004,14.56
2005,15.25
2006,16.26
2007,15.08
2008,14.31
2009,14.63
2010,13.34
2011,15.33
2012,14.43
2013,14.75
2014,16.25
2015,14.29
2016,15.58
2017,15.12
2018,15.63
2019,15.71
2020,15.28
2021,15.97
2022,15.54
2023,17.02
