date,mean winter Secchi depth
1950,7.26
1953,5.94
1957,6.81
1958,6.13
1959,7.45
1960,6.87
1961,6.4
1962,4.37
1963,2.5
1964,4.18
1965,3.26
1967,5.74
1968,4.78
1969,4.83
1972,6.96
1973,5.46
1974,4.47
1975,7.13
1976,4.01
1977,3.0
1978,2.7
1981,3.83
1983,7.36
1984,6.9
1986,3.34
1988,4.88
1989,6.25
1990,8.68
1991,5.66
1992,4.99
1994,4.5
1996,5.9
1998,4.81
2001,4.71
2002,5.5
2003,6.68
2004,5.7
2005,6.1
2007,4.67
2008,5.83
2010,6.92
2011,5.59
2012,5.17
2013,4.89
2014,4.63
2015,4.8
2016,5.79
2017,3.22
2018,5.09
2019,5.43
2020,5.78
2021,3.89
2022,5.52
2023,3.32
