date,mean summer surface oxygen concentration
1949,10.37
1950,13.19
1951,10.78
1953,13.07
1954,11.07
1956,13.81
1957,17.95
1958,16.89
1959,14.58
1960,14.72
1961,16.85
1962,20.7
1963,19.27
1964,20.68
1965,21.97
1966,19.11
1967,14.55
1968,17.64
1969,19.88
1970,17.24
1971,22.85
1972,16.77
1973,16.78
1974,20.42
1975,14.78
1977,13.05
1978,17.56
1979,17.19
1980,16.7
1981,15.61
1982,16.73
1983,13.05
1984,11.17
1985,15.39
1986,17.48
1987,14.78
1988,14.56
1989,13.67
1990,12.81
1991,11.54
1992,14.07
1993,13.14
1994,11.99
1995,13.76
1996,13.02
1997,13.53
1998,12.77
1999,15.03
2000,10.68
2001,13.88
2002,11.82
2003,12.49
2004,12.26
2005,11.71
2006,12.0
2007,11.39
2008,10.39
2009,13.21
2010,13.06
2011,11.39
2012,11.3
2013,10.47
2014,12.31
2015,13.15
2016,13.37
2017,11.42
2018,12.69
2019,12.03
2020,12.81
2021,11.33
2022,11.86
2023,10.91
