date,mean autumn Schmidt stability
1949,470.78
1950,325.41
1951,559.36
1953,422.29
1954,358.62
1956,292.01
1957,356.16
1958,366.76
1959,415.39
1960,260.64
1961,491.59
1962,362.95
1963,366.93
1964,350.81
1965,342.38
1966,509.34
1967,394.54
1968,386.96
1969,409.98
1970,402.34
1971,374.85
1972,224.99
1973,296.44
1974,180.82
1975,297.49
1976,443.12
1977,332.68
1978,363.11
1979,428.55
1980,359.72
1981,373.84
1982,456.36
1983,409.55
1984,349.5
1985,501.16
1986,448.0
1987,446.2
1988,410.49
1989,394.44
1990,483.58
1991,466.06
1992,385.4
1993,318.98
1994,340.62
1995,490.97
1996,307.06
1997,464.44
1998,348.58
1999,472.91
2000,419.68
2001,423.57
2002,375.47
2003,356.23
2004,436.43
2005,493.93
2006,568.77
2007,462.14
2008,390.16
2009,452.37
2010,358.82
2011,512.13
2012,431.5
2013,461.01
2014,575.74
2015,410.86
2016,519.41
2017,482.52
2018,545.08
2019,515.75
2020,481.76
2021,538.09
2022,510.67
2023,647.41
