date,minimum Secchi depth
1950,1.8
1953,1.4
1954,1.6
1956,1.0
1957,1.6
1958,1.7
1959,0.8
1960,1.2
1961,0.5
1962,0.8
1963,0.5
1964,1.0
1965,0.6
1966,0.6
1967,1.4
1968,0.6
1972,1.2
1973,0.8
1974,0.5
1975,0.8
1977,1.0
1978,0.5
1980,1.3
1983,2.0
1984,1.4
1986,0.8
1988,1.5
1989,1.4
1990,1.5
1991,0.7
1992,1.1
1993,0.8
1994,1.5
1995,1.3
1996,0.9
1998,1.4
1999,2.5
2000,1.4
2001,1.7
2002,2.0
2003,1.5
2004,1.6
2005,1.4
2006,1.7
2007,1.6
2008,2.3
2009,1.5
2010,1.7
2011,0.7
2012,1.4
2013,1.8
2014,1.5
2015,1.1
2016,1.3
2017,1.4
2018,1.6
2019,1.6
2020,2.4
2021,1.5
2022,2.1
2023,1.5
