date,mean winter epilimnion 0-10 m oxygen concentration
1950,8.65
1953,10.34
1957,6.4
1958,8.44
1959,9.1
1960,6.63
1961,5.82
1962,6.32
1963,6.28
1964,4.58
1965,3.1
1967,7.24
1968,8.68
1969,4.81
1972,4.6
1973,3.01
1974,5.38
1975,5.57
1976,4.21
1977,5.97
1978,4.62
1981,7.53
1983,6.98
1984,5.98
1986,6.43
1988,5.15
1989,6.15
1990,6.12
1991,6.77
1992,8.55
1994,9.07
1996,6.67
1998,7.65
1999,7.97
2001,5.76
2002,8.61
2003,7.69
2004,8.54
2005,9.18
2007,7.72
2008,8.17
2010,7.19
2011,7.69
2012,8.96
2013,10.96
2014,7.13
2015,7.18
2016,7.54
2017,7.32
2018,8.4
2019,8.2
2020,6.94
2021,7.98
2022,7.69
2023,8.07
