date,mean annual heat content
1950,669078486.19
1953,636616784.86
1954,612115217.5
1956,616192417.13
1957,613933532.52
1958,621469234.46
1959,642059061.42
1960,600483521.48
1961,689680400.88
1962,591057367.42
1963,584515761.59
1964,600300197.07
1965,608152417.46
1966,673472508.44
1967,678279400.28
1968,639581390.79
1969,600921651.13
1972,625295573.3
1973,590582673.23
1974,594403303.73
1975,620023816.65
1977,633670373.84
1978,585003554.87
1980,620676600.9
1983,674072724.1
1984,602650562.43
1986,599893564.58
1988,645331975.69
1989,671158664.41
1990,654055366.04
1991,594912562.81
1992,622455865.33
1993,607160911.77
1994,663799171.44
1995,674483160.69
1996,576710652.78
1998,632747161.42
1999,599840901.17
2000,701386438.83
2001,689807819.27
2002,703105751.84
2003,655654049.08
2004,637276942.06
2005,635268943.51
2006,686905390.02
2007,711387844.34
2008,661798585.63
2009,676284146.4
2010,601503841.35
2011,662468924.57
2012,665049926.4
2013,599675349.64
2014,702021783.13
2015,672046697.96
2016,682769351.75
2017,683634886.91
2018,677026945.48
2019,736895955.08
2020,746548063.6
2021,707684863.58
2022,748945992.62
2023,719925329.18
