date,mean winter bottom oxygen concentration
1950,8.68
1953,6.77
1957,4.44
1958,7.52
1959,8.09
1960,0.22
1961,4.4
1962,5.79
1963,1.42
1964,0.17
1965,1.42
1967,4.41
1968,8.32
1969,1.18
1972,0.0
1973,0.42
1974,2.07
1975,5.49
1976,3.15
1977,0.22
1978,4.73
1981,5.96
1983,6.52
1984,5.82
1986,6.23
1988,4.78
1989,5.11
1990,6.2
1991,6.0
1992,7.02
1994,8.85
1996,5.73
1998,7.66
1999,6.95
2001,5.75
2002,8.22
2003,7.45
2004,8.65
2005,8.5
2007,7.34
2008,7.28
2010,7.08
2011,5.12
2012,8.43
2013,11.55
2014,4.03
2015,4.09
2016,3.38
2017,5.72
2018,7.73
2019,3.89
2020,6.8
2021,7.13
2022,7.46
2023,3.37
