date,minimum bottom temperature
1950,3.2
1953,3.4
1954,3.0
1956,3.0
1957,3.2
1958,3.3
1959,3.4
1960,3.8
1961,3.4
1962,2.7
1963,2.9
1964,3.7
1965,3.2
1966,3.8
1967,3.8
1968,2.7
1969,2.9
1972,4.5
1973,3.4
1974,3.8
1975,4.4
1977,3.75
1978,3.2
1980,3.05
1983,4.75
1984,3.05
1986,4.0
1988,4.2
1989,4.4
1990,3.55
1991,3.55
1992,3.45
1993,2.7
1994,3.6
1995,4.25
1996,3.15
1998,3.7
1999,2.85
2000,3.6
2001,4.47
2002,3.34
2003,3.68
2004,3.81
2005,3.14
2006,3.38
2007,4.94
2008,4.07
2009,3.1
2010,2.84
2011,4.15
2012,3.54
2013,3.9
2014,4.4
2015,3.95
2016,5.0
2017,3.6
2018,3.35
2019,3.85
2020,5.25
2021,4.3
2022,4.65
2023,4.65
