date,mean summer epilimnion 5-10 m oxygen concentration
1949,0.73
1950,1.12
1951,3.42
1953,1.06
1954,2.21
1956,1.78
1957,1.91
1958,3.05
1959,0.96
1960,0.26
1961,0.44
1962,1.18
1963,0.36
1964,0.3
1965,1.46
1966,1.2
1967,1.23
1968,0.67
1969,0.83
1970,0.92
1971,2.72
1972,0.31
1973,0.13
1974,0.12
1975,0.22
1977,0.17
1978,0.43
1979,1.48
1980,1.63
1981,0.27
1982,0.55
1983,1.08
1984,2.17
1985,1.01
1986,0.69
1987,1.45
1988,0.93
1989,1.15
1990,1.18
1991,1.32
1992,2.61
1993,1.63
1994,2.45
1995,2.32
1996,3.53
1997,3.12
1998,1.53
1999,1.65
2000,0.61
2001,1.87
2002,1.47
2003,2.89
2004,1.34
2005,4.2
2006,3.72
2007,0.38
2008,0.49
2009,3.93
2010,2.18
2011,5.91
2012,3.55
2013,5.16
2014,3.59
2015,2.29
2016,2.65
2017,3.25
2018,9.17
2019,3.57
2020,6.45
2021,6.36
2022,5.4
2023,3.15
