date,mean late autumn hypolimnetic oxygen concentration
1949,1.29
1950,2.61
1953,0.3
1954,0.33
1956,1.68
1957,0.3
1958,2.13
1959,0.12
1960,0.18
1961,0.05
1962,0.26
1963,0.14
1964,0.13
1965,2.56
1966,1.02
1967,1.21
1968,0.57
1969,1.22
1970,0.51
1971,0.12
1972,0.13
1973,1.14
1974,1.16
1975,0.71
1976,0.21
1977,0.52
1978,0.22
1979,0.59
1980,1.14
1981,0.81
1982,0.17
1983,0.41
1984,0.06
1985,0.2
1986,0.31
1987,0.12
1988,1.62
1989,0.5
1990,0.69
1991,0.92
1992,0.93
1993,0.88
1994,0.17
1995,0.81
1996,0.84
1997,0.72
1998,1.91
1999,1.37
2000,0.19
2001,0.62
2002,0.45
2003,0.12
2004,0.31
2005,0.23
2006,0.12
2007,2.23
2008,1.05
2009,0.12
2010,0.2
2011,0.43
2012,1.3
2013,0.18
2014,0.15
2015,0.42
2016,0.7
2017,0.38
2018,0.41
2019,0.59
2020,0.23
2021,1.22
2022,0.49
2023,0.7
