date,mean summer bottom temperature
1949,5.67
1950,6.49
1951,6.0
1953,5.33
1954,5.39
1956,5.35
1957,5.36
1958,5.8
1959,5.47
1960,5.68
1961,6.4
1962,6.06
1963,4.86
1964,5.19
1965,6.53
1966,5.97
1967,6.49
1968,5.3
1969,6.18
1970,6.21
1971,4.92
1972,6.3
1973,5.56
1974,5.2
1975,6.1
1977,6.09
1978,5.16
1979,5.77
1980,6.09
1981,4.94
1982,5.33
1983,5.35
1984,4.78
1985,5.77
1986,5.11
1987,5.27
1988,5.23
1989,5.85
1990,5.72
1991,4.77
1992,5.52
1993,4.84
1994,6.22
1995,5.93
1996,4.67
1997,5.99
1998,5.65
1999,5.01
2000,5.47
2001,6.31
2002,6.06
2003,5.13
2004,5.41
2005,4.59
2006,4.98
2007,6.07
2008,6.03
2009,4.93
2010,4.71
2011,4.71
2012,5.28
2013,4.65
2014,5.45
2015,5.8
2016,5.8
2017,5.34
2018,4.91
2019,6.29
2020,6.52
2021,6.24
2022,5.99
2023,6.09
