date,maximum winter-spring mixing depth with salinity (0.005 kgm-3)
1976,30.0
1977,30.0
1978,30.0
1980,30.0
1984,30.0
1988,30.0
1989,30.0
1990,30.0
1991,30.0
1992,30.0
1993,30.0
1994,30.0
1995,30.0
1996,30.0
1998,30.0
1999,30.0
2000,30.0
2001,30.0
2002,30.0
2003,28.0
2004,30.0
2005,30.0
2006,30.0
2007,30.0
2008,30.0
2009,30.0
2010,30.0
2011,30.0
2012,30.0
2013,30.0
2014,24.0
2015,30.0
2016,28.0
2017,30.0
2018,30.0
2019,30.0
2020,30.0
2021,30.0
2022,30.0
2023,30.0
