date,mean winter surface temperature
1950,4.46
1953,1.83
1957,3.18
1958,3.32
1959,4.12
1960,2.16
1961,2.65
1962,3.59
1963,1.3
1964,2.03
1965,2.8
1967,3.08
1968,1.62
1969,2.73
1972,3.2
1973,1.62
1974,3.6
1975,4.64
1976,3.55
1977,2.5
1978,3.7
1981,3.25
1983,5.24
1984,3.78
1986,4.01
1988,5.22
1989,4.97
1990,4.04
1991,4.08
1992,3.44
1994,4.12
1996,3.67
1998,4.27
1999,3.45
2001,4.69
2002,3.36
2003,4.51
2004,3.78
2005,2.7
2007,5.76
2008,3.83
2010,3.25
2011,3.86
2012,4.9
2013,4.75
2014,4.31
2015,5.09
2016,5.77
2017,4.12
2018,5.14
2019,4.79
2020,5.78
2021,4.77
2022,5.33
2023,5.89
