date,mean spring epilimnion 0-5 m oxygen concentration
1949,14.43
1950,13.04
1951,13.18
1953,13.98
1954,12.48
1956,13.78
1957,11.36
1958,12.02
1959,12.52
1960,12.4
1961,11.13
1962,13.68
1963,10.2
1964,10.65
1965,9.64
1966,13.43
1967,10.5
1968,19.55
1969,10.25
1970,13.24
1971,13.88
1972,10.98
1973,8.87
1974,15.47
1975,11.27
1976,13.39
1977,13.12
1978,13.49
1979,10.82
1980,12.24
1981,12.91
1982,11.79
1983,12.12
1984,14.89
1985,11.48
1986,12.74
1987,14.52
1988,14.17
1989,11.57
1990,13.32
1991,12.8
1992,11.61
1993,16.7
1994,13.45
1995,12.41
1996,15.09
1997,12.22
1998,14.02
1999,12.42
2000,14.52
2001,11.44
2002,11.66
2003,13.65
2004,12.69
2005,13.53
2006,13.12
2007,12.6
2008,13.09
2009,14.27
2010,12.57
2011,13.94
2012,14.32
2013,12.85
2014,12.93
2015,12.92
2016,14.32
2017,13.2
2018,14.83
2019,12.94
2020,13.83
2021,11.6
2022,12.71
2023,11.57
