date,mean spring Secchi depth
1949,1.5
1950,2.62
1951,3.61
1953,1.91
1954,2.57
1956,2.6
1957,3.1
1958,2.12
1959,5.07
1960,2.5
1961,2.67
1962,1.91
1963,1.59
1964,1.69
1965,2.0
1966,1.83
1967,2.77
1968,0.88
1969,2.25
1970,1.73
1971,1.09
1972,1.39
1973,2.96
1974,0.92
1975,2.58
1976,1.32
1977,1.19
1978,1.74
1979,3.62
1980,2.47
1981,1.65
1982,2.61
1983,2.57
1984,2.48
1985,2.27
1986,2.15
1987,1.22
1988,2.37
1989,5.96
1990,3.45
1991,3.65
1992,3.65
1993,3.53
1994,1.91
1995,3.8
1996,2.18
1997,4.26
1998,1.65
1999,3.19
2000,2.39
2001,2.18
2002,4.44
2003,2.2
2004,2.81
2005,1.92
2006,2.35
2007,4.18
2008,2.43
2009,2.6
2010,3.34
2011,3.26
2012,3.45
2013,3.51
2014,6.2
2015,3.05
2016,2.57
2017,4.24
2018,4.0
2019,3.84
2020,4.19
2021,3.91
2022,5.52
2023,2.65
