date,mean early autumn hypolimnetic oxygen content
1949,12.4
1950,20.61
1951,12.62
1953,25.07
1954,15.82
1956,7.05
1957,5.26
1958,6.99
1959,4.69
1960,2.82
1961,15.8
1962,8.68
1963,4.42
1964,3.85
1965,6.9
1966,7.14
1967,9.44
1968,7.07
1969,12.92
1970,12.2
1971,4.38
1972,0.0
1973,5.82
1974,5.57
1975,10.61
1976,2.96
1977,9.21
1978,0.0
1979,2.81
1980,7.27
1981,1.25
1982,0.0
1983,0.0
1984,0.29
1985,0.0
1986,4.01
1987,0.05
1988,4.91
1989,0.44
1990,4.07
1991,3.68
1992,4.21
1993,5.93
1994,4.77
1995,4.49
1996,9.22
1997,3.81
1998,5.01
1999,4.69
2000,5.16
2001,3.88
2002,0.71
2003,7.8
2004,3.84
2005,3.2
2006,7.29
2007,20.09
2008,0.7
2009,4.64
2010,0.78
2011,0.66
2012,5.43
2013,15.72
2014,3.98
2015,8.59
2016,11.68
2017,11.67
2018,13.97
2019,0.02
2020,4.38
2021,12.44
2022,16.73
2023,11.3
