date,mean spring bottom temperature
1949,4.84
1950,5.43
1951,5.05
1953,3.98
1954,4.52
1956,4.32
1957,4.15
1958,4.36
1959,4.76
1960,4.65
1961,5.38
1962,4.71
1963,3.61
1964,4.54
1965,4.02
1966,5.16
1967,5.69
1968,4.51
1969,4.97
1970,4.34
1971,4.06
1972,5.31
1973,4.58
1974,4.4
1975,5.1
1976,3.86
1977,5.04
1978,4.32
1979,4.77
1980,5.54
1981,3.9
1982,4.5
1983,4.8
1984,4.09
1985,4.38
1986,4.49
1987,4.18
1988,5.06
1989,5.26
1990,5.15
1991,4.05
1992,5.01
1993,3.77
1994,5.25
1995,5.49
1996,4.21
1997,4.99
1998,4.91
1999,4.18
2000,4.89
2001,5.49
2002,5.44
2003,4.54
2004,4.77
2005,4.0
2006,4.4
2007,5.64
2008,5.57
2009,4.13
2010,3.93
2011,4.33
2012,3.94
2013,4.2
2014,4.88
2015,5.43
2016,5.24
2017,4.76
2018,4.4
2019,5.57
2020,6.2
2021,5.33
2022,5.33
2023,5.44
