date,mean autumn Secchi depth
1949,4.29
1950,4.44
1951,2.7
1953,4.9
1954,3.89
1956,6.14
1957,3.95
1959,3.99
1960,4.41
1961,2.79
1962,2.88
1963,3.04
1964,2.14
1965,2.75
1966,2.54
1967,3.83
1968,2.86
1970,1.74
1971,1.49
1972,2.25
1973,2.75
1974,3.9
1975,4.5
1976,3.23
1977,2.07
1978,2.9
1979,2.84
1980,3.95
1981,3.84
1982,4.19
1983,3.58
1984,3.56
1985,3.13
1986,2.75
1987,3.23
1988,3.7
1989,2.69
1990,4.0
1991,3.77
1992,3.46
1993,3.4
1994,3.65
1995,4.29
1996,2.37
1997,3.28
1998,4.08
1999,4.06
2000,2.79
2001,2.54
2002,2.95
2003,3.45
2004,2.9
2005,3.26
2006,3.49
2007,2.93
2008,3.73
2009,2.42
2010,4.28
2011,3.61
2012,3.63
2013,3.54
2014,2.4
2015,2.86
2016,2.86
2017,3.23
2018,2.34
2019,3.7
2020,3.94
2021,2.93
2022,3.43
2023,2.56
