date,mean autumn epilimnion 5-10 m oxygen concentration
1949,4.64
1950,5.8
1951,3.2
1953,3.31
1954,4.9
1956,4.27
1957,6.81
1958,6.0
1959,3.31
1960,6.15
1961,4.28
1962,4.38
1963,3.76
1964,4.45
1965,3.9
1966,1.67
1967,2.23
1968,5.04
1969,1.54
1970,4.34
1971,3.74
1972,4.34
1973,5.3
1974,5.25
1975,4.01
1976,1.45
1977,3.12
1978,4.27
1979,4.48
1980,3.81
1981,4.11
1982,2.53
1983,5.72
1984,5.31
1985,3.71
1986,1.36
1987,3.55
1988,4.06
1989,4.0
1990,4.96
1991,4.86
1992,4.59
1993,3.6
1994,5.79
1995,3.59
1996,5.88
1997,5.54
1998,8.58
1999,5.1
2000,3.26
2001,2.62
2002,7.14
2003,6.33
2004,4.08
2005,2.34
2006,4.61
2007,3.71
2008,4.22
2009,6.38
2010,6.26
2011,4.88
2012,5.86
2013,5.98
2014,3.28
2015,6.02
2016,3.51
2017,5.77
2018,6.67
2019,8.32
2020,6.74
2021,5.59
2022,8.87
2023,3.54
