date,mean annual bottom density
1977,1000.2484
1978,1000.2937
1980,1000.2662
1983,1000.2867
1984,1000.2994
1986,1000.2856
1988,1000.2649
1989,1000.2591
1990,1000.277
1991,1000.3345
1992,1000.2846
1993,1000.2836
1994,1000.2674
1995,1000.2687
1996,1000.2882
1998,1000.2696
1999,1000.2842
2000,1000.2797
2001,1000.2543
2002,1000.2552
2003,1000.2819
2004,1000.2748
2005,1000.2864
2006,1000.2992
2007,1000.2608
2008,1000.2682
2009,1000.3054
2010,1000.3006
2011,1000.3129
2012,1000.2989
2013,1000.34
2014,1000.3081
2015,1000.2909
2016,1000.2838
2017,1000.29
2018,1000.2984
2019,1000.267
2020,1000.2621
2021,1000.29
2022,1000.3017
2023,1000.2918
