date,mean late summer Secchi depth
1949,2.84
1950,2.29
1951,3.45
1953,2.47
1954,2.52
1955,1.64
1956,1.59
1957,3.44
1958,2.5
1959,1.98
1960,2.44
1961,1.82
1962,1.14
1963,1.21
1964,1.13
1965,1.18
1966,1.23
1967,1.42
1968,1.74
1969,1.39
1970,1.91
1971,1.74
1972,1.26
1973,1.61
1974,1.39
1975,2.29
1977,2.11
1978,1.35
1979,1.85
1980,1.56
1981,2.13
1982,2.02
1983,2.17
1984,1.47
1985,2.49
1986,1.69
1987,2.54
1988,1.93
1989,2.7
1990,3.68
1991,1.75
1992,2.27
1993,2.1
1994,1.99
1995,2.87
1996,1.99
1997,2.57
1998,3.18
1999,2.56
2000,2.32
2001,3.2
2002,2.41
2003,2.04
2004,1.75
2005,1.98
2006,2.54
2007,1.75
2008,3.07
2009,1.68
2010,1.84
2011,1.0
2012,1.44
2013,1.9
2014,1.76
2015,1.63
2016,1.88
2017,2.16
2018,2.17
2019,1.78
2020,2.9
2021,1.7
2022,3.42
2023,1.76
