date (yyyy-mm-dd HH:MM:SS),heat content [J/m2]
08.10.1979 12:00,2839059341.0
06.11.1979 12:00,2521236582.0
19.11.1979 12:00,2304024619.0
12.12.1979 12:00,2197875565.0
15.01.1980 12:00,2123804688.0
05.02.1980 12:00,1906533372.0
04.03.1980 12:00,1891818814.0
15.04.1980 12:00,2101654792.0
06.05.1980 12:00,2151732096.0
02.06.1980 12:00,2346160080.0
08.07.1980 12:00,2768410318.0
05.08.1980 12:00,3005926529.0
09.09.1980 12:00,3054629123.0
07.10.1980 12:00,3015202204.0
12.11.1980 12:00,2377913219.0
02.12.1980 12:00,2464674583.0
13.01.1981 12:00,1933430888.0
10.02.1981 12:00,1807309290.0
09.03.1981 12:00,1803627530.0
07.04.1981 12:00,1852521422.0
05.05.1981 12:00,2060264263.0
02.06.1981 12:00,2449397212.0
07.07.1981 12:00,2682049518.0
04.08.1981 12:00,2925810883.0
09.09.1981 12:00,2941315993.0
06.10.1981 12:00,2915017153.0
10.11.1981 12:00,2551732926.0
02.12.1981 12:00,2281494095.0
12.01.1982 12:00,1961077423.0
02.02.1982 12:00,1785338827.0
09.03.1982 12:00,1752759762.0
06.04.1982 12:00,1847073128.0
11.05.1982 12:00,2136106446.0
01.06.1982 12:00,2460344520.0
06.07.1982 12:00,2727733205.0
03.08.1982 12:00,2927824280.0
07.09.1982 12:00,2679354173.0
12.10.1982 12:00,2600141782.0
09.11.1982 12:00,2617520217.0
06.12.1982 12:00,2448399649.0
07.12.1982 12:00,2448399649.0
11.01.1983 12:00,2223192065.0
07.02.1983 12:00,1986891170.0
08.03.1983 12:00,1808572641.0
12.04.1983 12:00,1986817771.0
03.05.1983 12:00,2211407194.0
07.06.1983 12:00,2577814951.0
05.07.1983 12:00,2848870040.0
09.08.1983 12:00,2868240183.0
06.09.1983 12:00,2988764766.0
11.10.1983 12:00,2945611723.0
08.11.1983 12:00,2699282874.0
06.12.1983 12:00,2376005632.0
10.01.1984 12:00,2087212433.0
14.02.1984 12:00,1891390720.0
13.03.1984 12:00,1734881366.0
03.04.1984 12:00,1793699781.0
16.05.1984 12:00,2312825863.0
05.06.1984 12:00,2343993154.0
04.07.1984 12:00,2478392795.0
07.08.1984 12:00,2747321465.0
11.09.1984 12:00,2593236274.0
16.10.1984 12:00,2742093568.0
06.11.1984 12:00,2672749017.0
04.12.1984 12:00,2410465699.0
23.01.1985 12:00,1717760395.0
05.02.1985 12:00,1692429658.0
06.03.1985 12:00,1593611607.0
02.04.1985 12:00,1657367243.0
08.05.1985 12:00,1986030284.0
11.06.1985 12:00,2143795096.0
09.07.1985 12:00,2709378022.0
06.08.1985 12:00,2832012973.0
11.09.1985 12:00,2820548995.0
09.10.1985 12:00,2857922896.0
05.11.1985 12:00,2552935786.0
03.12.1985 12:00,2296915004.0
08.01.1986 12:00,1978996154.0
04.02.1986 12:00,1798627735.0
04.03.1986 12:00,1435934920.0
08.04.1986 12:00,1711200992.0
13.05.1986 12:00,1992181191.0
03.06.1986 12:00,2196745635.0
08.07.1986 12:00,2504504348.0
05.08.1986 12:00,2499098447.0
03.09.1986 12:00,2527394121.0
07.10.1986 12:00,2632119455.0
04.11.1986 12:00,2402813624.0
02.12.1986 12:00,2374602653.0
20.01.1987 12:00,1765268065.0
10.02.1987 12:00,1667042009.0
10.03.1987 12:00,1591138739.0
07.04.1987 12:00,1648973262.0
05.05.1987 12:00,1877220101.0
02.06.1987 12:00,2260093457.0
07.07.1987 12:00,2655414245.0
04.08.1987 12:00,2719845672.0
01.09.1987 12:00,2743895748.0
06.10.1987 12:00,2642462477.0
03.11.1987 12:00,2643951203.0
01.12.1987 12:00,2328685175.0
12.01.1988 12:00,2196651689.0
09.02.1988 12:00,1992276958.0
02.03.1988 12:00,1893125036.0
12.04.1988 12:00,2059626248.0
02.05.1988 12:00,2156598703.0
06.06.1988 12:00,2590484543.0
04.07.1988 12:00,2626017817.0
01.08.1988 12:00,2795796798.0
06.09.1988 12:00,2812980710.0
04.10.1988 12:00,2765561282.0
07.11.1988 12:00,2805877340.0
05.12.1988 12:00,2498300567.0
06.12.1988 12:00,2498300567.0
10.01.1989 12:00,2121349218.0
14.02.1989 12:00,2008580693.0
07.03.1989 12:00,1943579520.0
04.04.1989 12:00,2161715203.0
09.05.1989 12:00,2490932110.0
06.06.1989 12:00,2664855972.0
04.07.1989 12:00,2959400382.0
02.08.1989 12:00,2846932097.0
05.09.1989 12:00,3194686622.0
03.10.1989 12:00,2992147918.0
07.11.1989 12:00,2776154440.0
05.12.1989 12:00,2366382760.0
09.01.1990 12:00,2131485143.0
06.02.1990 12:00,2021598730.0
06.03.1990 12:00,1992250586.0
03.04.1990 12:00,2158476039.0
08.05.1990 12:00,2397267025.0
12.06.1990 12:00,2843858993.0
03.07.1990 12:00,3088219092.0
07.08.1990 12:00,3099298778.0
04.09.1990 12:00,3072630628.0
02.10.1990 12:00,2881194838.0
06.11.1990 12:00,2978527020.0
04.12.1990 12:00,2555002129.0
08.01.1991 12:00,2251035723.0
05.02.1991 12:00,1989687109.0
05.03.1991 12:00,1885898907.0
09.04.1991 12:00,2067202575.0
07.05.1991 12:00,2249547464.0
04.06.1991 12:00,2475399100.0
02.07.1991 12:00,2724259947.0
06.08.1991 12:00,2917431172.0
03.09.1991 12:00,3023884274.0
10.10.1991 12:00,2742886362.0
12.11.1991 12:00,2615252689.0
03.12.1991 12:00,2382360536.0
08.01.1992 12:00,2009763382.0
04.02.1992 12:00,1890026997.0
10.03.1992 12:00,1872524407.0
07.04.1992 12:00,1979721096.0
05.05.1992 12:00,2258860476.0
02.06.1992 12:00,2550727224.0
07.07.1992 12:00,2888168241.0
04.08.1992 12:00,3064265671.0
02.09.1992 12:00,3221648168.0
06.10.1992 12:00,3068010845.0
03.11.1992 12:00,2392728610.0
02.12.1992 12:00,2479765161.0
12.01.1993 12:00,2051515927.0
09.02.1993 12:00,1942212568.0
09.03.1993 12:00,1891891087.0
14.04.1993 12:00,2025827169.0
04.05.1993 12:00,2374682317.0
01.06.1993 12:00,2626418930.0
06.07.1993 12:00,3179109092.0
04.08.1993 12:00,3007318703.0
08.09.1993 12:00,2883343915.0
05.10.1993 12:00,2914370606.0
02.11.1993 12:00,2584903117.0
07.12.1993 12:00,2307168612.0
12.01.1994 12:00,2106428709.0
08.02.1994 12:00,2030279872.0
08.03.1994 12:00,1968052601.0
05.04.1994 12:00,2207829104.0
05.05.1994 12:00,2577768454.0
07.06.1994 12:00,2610564652.0
05.07.1994 12:00,2982175470.0
09.08.1994 12:00,3450265906.0
07.09.1994 12:00,3444428169.0
12.10.1994 12:00,3036015996.0
08.11.1994 12:00,2862826225.0
06.12.1994 12:00,2718887200.0
30.01.1995 12:00,2155146299.0
21.02.1995 12:00,2131508269.0
07.03.1995 12:00,2203892293.0
22.03.1995 12:00,2160900741.0
04.04.1995 12:00,2163272435.0
18.04.1995 12:00,2222028951.0
09.05.1995 12:00,2621554156.0
23.05.1995 12:00,2674698216.0
