date (yyyy-mm-dd HH:MM:SS),surface oxygen concentration [mg/L]
15.10.2012 12:00,9.6
12.11.2012 12:00,10.0
10.12.2012 12:00,10.3
21.01.2013 12:00,10.9
18.02.2013 12:00,11.0
18.03.2013 12:00,11.0
15.04.2013 12:00,11.3
13.05.2013 12:00,10.8
10.06.2013 12:00,10.5
15.07.2013 12:00,9.4
19.08.2013 12:00,9.4
16.09.2013 12:00,9.0
14.10.2013 12:00,9.6
18.11.2013 12:00,9.9
09.12.2013 12:00,10.5
17.02.2014 12:00,10.9
10.03.2014 12:00,11.3
13.04.2014 12:00,11.0
14.04.2014 12:00,11.2
16.06.2014 12:00,9.9
14.07.2014 12:00,9.6
25.08.2014 12:00,9.5
13.10.2014 12:00,9.9
10.11.2014 12:00,9.8
08.12.2014 12:00,9.9
12.01.2015 12:00,10.5
09.02.2015 12:00,10.5
09.03.2015 12:00,11.0
07.04.2015 12:00,11.4
18.05.2015 12:00,10.8
15.06.2015 12:00,10.0
13.07.2015 12:00,9.4
10.08.2015 12:00,9.0
07.09.2015 12:00,9.3
12.10.2015 12:00,9.6
16.11.2015 12:00,10.0
14.12.2015 12:00,10.1
11.01.2016 12:00,10.4
15.02.2016 12:00,10.6
14.03.2016 12:00,11.2
11.04.2016 12:00,11.0
09.05.2016 12:00,11.2
06.06.2016 12:00,10.2
04.07.2016 12:00,10.0
08.08.2016 12:00,9.6
05.09.2016 12:00,9.4
10.10.2016 12:00,9.6
07.11.2016 12:00,10.0
12.12.2016 12:00,10.4
16.01.2017 12:00,10.7
13.02.2017 12:00,10.9
13.03.2017 12:00,11.1
10.04.2017 12:00,11.2
15.05.2017 12:00,11.0
12.06.2017 12:00,9.6
10.07.2017 12:00,9.0
14.08.2017 12:00,9.3
11.09.2017 12:00,9.4
09.10.2017 12:00,9.9
07.11.2017 12:00,9.8
11.12.2017 12:00,10.6
15.01.2018 12:00,10.6
05.02.2018 12:00,11.0
12.03.2018 12:00,10.6
09.04.2018 12:00,11.0
14.05.2018 12:00,10.6
11.06.2018 12:00,8.8
09.07.2018 12:00,9.2
08.10.2018 12:00,9.6
05.11.2018 12:00,9.9
10.12.2018 12:00,10.3
14.01.2019 12:00,10.5
11.02.2019 12:00,10.2
11.03.2019 12:00,10.8
08.04.2019 12:00,11.4
13.05.2019 12:00,11.1
17.06.2019 12:00,10.0
15.07.2019 12:00,9.6
12.08.2019 12:00,9.3
07.10.2019 12:00,9.6
09.12.2019 12:00,10.1
13.01.2020 12:00,10.6
13.02.2020 12:00,10.6
09.03.2020 12:00,10.9
06.04.2020 12:00,11.2
11.05.2020 12:00,10.1
15.06.2020 12:00,9.9
13.07.2020 12:00,9.2
10.08.2020 12:00,9.3
07.09.2020 12:00,9.4
13.10.2020 12:00,9.7
09.11.2020 12:00,10.2
07.12.2020 12:00,10.3
12.01.2021 12:00,10.5
09.02.2021 12:00,10.7
09.03.2021 12:00,11.3
13.04.2021 12:00,11.4
04.05.2021 12:00,11.2
15.06.2021 12:00,10.2
13.07.2021 12:00,10.1
10.08.2021 12:00,10.0
07.09.2021 12:00,9.6
05.10.2021 12:00,9.9
09.11.2021 12:00,10.2
14.12.2021 12:00,10.6
11.01.2022 12:00,10.8
15.02.2022 12:00,10.6
18.03.2022 12:00,11.5
12.04.2022 12:00,11.5
10.05.2022 12:00,10.6
14.06.2022 12:00,9.6
12.07.2022 12:00,9.2
09.08.2022 12:00,9.0
12.09.2022 12:00,9.2
11.10.2022 12:00,9.8
08.11.2022 12:00,10.0
12.12.2022 12:00,10.2
17.01.2023 12:00,10.7
07.02.2023 12:00,10.9
07.03.2023 12:00,11.0
04.04.2023 12:00,11.6
09.05.2023 12:00,11.0
13.06.2023 12:00,9.9
11.07.2023 12:00,9.3
15.08.2023 12:00,9.1
12.09.2023 12:00,8.8
10.10.2023 12:00,9.8
14.11.2023 12:00,10.0
12.12.2023 12:00,10.6
