date,mean winter Schmidt stability
1972,-0.0
1973,4.57
1974,-0.23
1975,0.35
1976,2.57
1977,0.3
1978,0.43
1979,0.19
1980,-0.33
1981,0.18
1982,0.36
1983,2.17
1984,0.47
1985,2.58
1986,0.86
1987,4.08
1988,1.5
1989,0.18
1990,-0.07
1991,1.3
1992,0.24
1993,0.46
1994,-0.55
1995,-1.8
1996,0.69
1997,0.8
1998,1.25
1999,0.73
2000,0.09
2001,1.68
2002,2.41
2003,1.37
2004,0.46
2005,3.73
