date,minimum Secchi depth
1972,2.3
1973,2.7
1974,2.0
1975,2.6
1976,2.3
1977,1.8
1978,0.7
1979,2.3
1980,2.9
1981,1.7
1982,1.7
1983,2.5
1984,2.7
1985,3.0
1986,1.3
1987,2.6
1988,2.7
1989,2.9
1990,2.7
1991,1.8
1992,1.9
1993,2.1
1994,2.0
1995,1.4
1996,2.3
1997,2.5
1998,2.7
1999,2.0
2000,1.7
2001,2.5
2002,2.5
2003,3.6
2004,2.2
2005,2.8
