date,mean autumn epilimnion 0-5 m oxygen concentration
1972,8.91
1974,8.96
1975,9.53
1976,10.09
1977,9.67
1978,8.29
1979,8.87
1980,10.26
1981,9.54
1982,9.46
1983,8.95
1984,9.38
1985,10.09
1986,10.29
1987,9.54
1988,9.42
1989,8.26
1990,9.27
1991,8.91
1992,9.4
1993,9.37
1994,9.95
1995,8.92
1996,9.3
1997,9.51
1998,9.07
1999,8.32
2000,8.67
2001,9.88
2002,9.1
2003,8.89
2004,10.01
2005,9.12
2006,9.34
2007,9.26
2008,9.36
2009,8.97
2010,9.99
2011,9.44
2012,9.58
2013,9.33
2014,9.18
2015,9.81
2016,9.61
2017,9.2
2018,8.58
2019,9.18
2020,9.53
2021,9.11
2022,8.69
2023,8.83
