date,mean spring Secchi depth
1972,2.48
1973,2.97
1974,3.21
1975,4.42
1976,3.72
1977,3.09
1978,2.34
1979,3.86
1980,3.08
1981,2.03
1982,3.7
1983,2.74
1984,3.12
1985,3.53
1986,3.07
1987,3.13
1988,3.36
1989,3.61
1990,3.71
1991,2.57
1992,2.85
1993,4.93
1994,3.52
1995,3.21
1996,3.51
1997,3.94
1998,4.08
1999,3.53
2000,4.45
2001,2.56
2002,3.42
2003,5.08
2004,3.57
2005,5.51
2006,4.39
2007,4.51
2008,3.83
2009,4.6
2010,4.26
2011,5.92
2012,4.52
2013,3.65
2014,4.61
2015,4.17
2016,4.72
2017,5.78
2018,8.02
2019,5.24
2020,6.45
2021,4.82
2022,6.17
2023,3.85
