date,mean annual bottom conductivity
1972,275.75
1973,270.92
1974,300.0
1975,298.43
1976,287.03
1977,298.24
1978,305.1
1979,301.15
1980,297.44
1981,299.66
1982,307.11
1983,298.31
1984,307.28
1985,302.47
1986,296.34
1987,289.84
1988,288.29
1989,282.21
1990,275.52
1991,303.09
1992,296.03
1993,288.08
1994,292.36
1995,296.14
1996,293.84
1997,297.44
1998,293.34
1999,305.69
2000,300.59
2004,301.4
2005,309.15
