date,mean summer thermocline depth
1972,6.25
1973,2.49
1974,2.49
1975,2.35
1976,6.06
1977,2.76
1978,10.5
1979,4.05
1980,2.8
1981,2.32
1982,3.3
1983,2.54
1984,4.57
1985,3.59
1986,3.76
1987,9.43
1988,5.19
1989,3.46
1990,2.05
1991,2.45
1992,5.27
1993,2.44
1994,4.41
1995,5.17
1996,8.97
1997,3.63
1998,7.47
1999,3.11
2000,9.12
2001,3.05
2002,3.72
2003,6.65
2004,3.13
2005,6.88
