date,mean autumn Schmidt stability
1972,266.3
1974,217.45
1975,349.7
1976,428.75
1977,318.39
1978,252.06
1979,366.12
1980,435.36
1981,269.12
1982,446.55
1983,428.7
1984,277.2
1985,576.27
1986,503.88
1987,432.65
1988,442.12
1989,347.45
1990,438.86
1991,481.41
1992,429.43
1993,269.13
1994,452.92
1995,267.18
1996,325.5
1997,471.87
1998,294.07
1999,452.73
2000,430.93
2001,278.37
2002,273.55
2003,468.04
2004,471.84
2005,413.52
2006,415.37
2007,368.33
2008,385.93
2009,471.85
2010,299.41
2011,528.05
2012,411.99
2013,488.53
2014,425.09
2015,516.7
2016,568.17
2017,448.68
2018,600.01
2019,518.24
2020,412.43
2021,415.93
2022,626.54
2023,449.01
