date,mean winter surface oxygen concentration
1972,9.06
1973,10.57
1974,10.66
1975,10.98
1976,11.13
1977,10.64
1978,11.47
1979,11.29
1980,11.25
1981,11.39
1982,11.49
1983,10.32
1984,10.83
1985,10.21
1986,10.39
1987,10.83
1988,10.0
1989,10.53
1990,9.91
1991,10.49
1992,10.76
1993,10.56
1994,11.43
1995,10.73
1996,10.49
1997,10.91
1998,10.47
1999,11.24
2000,11.16
2001,10.56
2002,11.32
2003,10.64
2004,10.45
2005,10.79
