date,mean late summer Secchi depth
1972,2.86
1973,3.84
1974,3.8
1975,4.5
1976,3.78
1977,2.44
1978,1.92
1979,4.73
1980,7.02
1981,2.93
1982,3.0
1983,3.91
1984,5.02
1985,4.9
1986,4.79
1987,2.73
1988,3.5
1989,3.13
1990,4.86
1991,4.9
1992,3.86
1993,2.85
1994,3.69
1995,4.03
1996,3.2
1997,3.81
1998,3.58
1999,4.94
2000,2.36
2001,5.39
2002,3.24
2003,4.16
2004,3.7
2005,3.27
2006,3.82
2007,4.52
2008,4.56
2009,3.46
2010,2.66
2011,2.76
2012,5.02
2013,4.95
2014,2.24
2015,6.12
2016,3.36
2017,4.61
2018,5.5
2019,4.43
2020,4.68
2021,2.82
2022,5.79
2023,1.76
