date,mean late autumn bottom oxygen concentration
1972,3.63
1973,4.56
1974,1.26
1975,0.93
1976,0.68
1977,3.69
1978,0.79
1979,0.58
1980,2.38
1981,3.83
1982,0.4
1983,2.52
1984,0.24
1985,0.41
1986,0.29
1987,0.28
1988,1.88
1989,0.28
1990,0.2
1991,0.4
1992,0.49
1993,4.1
1994,0.4
1995,0.59
1996,0.63
1997,0.16
1998,4.07
1999,0.89
2000,0.24
2001,0.36
2002,0.33
2003,0.0
2004,0.12
2005,0.15
