date,mean autumn bottom temperature
1972,7.62
1974,5.5
1975,5.52
1976,5.47
1977,7.51
1978,6.68
1979,6.3
1980,6.45
1981,5.98
1982,6.07
1983,6.94
1984,5.64
1985,6.81
1986,5.87
1987,5.31
1988,5.7
1989,6.3
1990,6.29
1991,5.28
1992,7.06
1993,6.15
1994,7.04
1995,6.44
1996,5.92
1997,6.62
1998,6.81
1999,5.43
2000,5.65
2001,6.54
2002,6.99
2003,5.91
2004,5.89
2005,5.5
2006,6.02
2007,7.63
2008,6.67
2009,5.84
2010,5.7
2011,6.07
2012,5.52
2013,6.07
2014,6.27
2015,6.54
2016,6.04
2017,6.34
2018,6.23
2019,6.62
2020,6.85
2021,7.11
2022,7.09
2023,7.28
