date,mean annual Secchi depth
1972,4.07
1973,4.02
1974,4.7
1975,4.51
1976,4.8
1977,3.98
1978,3.13
1979,4.27
1980,4.32
1981,3.6
1982,3.61
1983,4.36
1984,4.12
1985,4.65
1986,3.67
1987,3.72
1988,3.91
1989,4.29
1990,4.07
1991,3.82
1992,3.49
1993,4.36
1994,3.75
1995,3.26
1996,3.94
1997,3.96
1998,3.81
1999,4.09
2000,4.01
2001,4.64
2002,4.07
2003,4.32
2004,3.9
2005,4.85
