date,mean winter epilimnion 0-10 m oxygen concentration
1972,9.06
1973,10.32
1974,10.63
1975,10.93
1976,10.81
1977,10.58
1978,11.41
1979,11.17
1980,11.12
1981,11.07
1982,11.42
1983,10.32
1984,10.81
1985,10.08
1986,10.37
1987,10.71
1988,10.04
1989,10.41
1990,9.94
1991,10.41
1992,10.73
1993,10.62
1994,11.4
1995,10.7
1996,10.5
1997,10.93
1998,10.44
1999,11.14
2000,11.13
2001,10.54
2002,11.18
2003,10.6
2004,10.42
2005,10.67
