date,mean winter Secchi depth
1973,5.49
1974,5.88
1975,5.29
1976,6.1
1977,5.36
1978,3.54
1979,3.97
1980,3.97
1981,4.12
1982,3.5
1983,3.56
1984,4.16
1985,5.31
1986,4.87
1987,3.61
1988,4.49
1989,4.51
1990,5.3
1991,3.6
1992,2.52
1993,4.29
1994,2.78
1995,3.55
1996,3.29
1997,4.52
1998,3.95
1999,4.96
2000,3.56
2001,5.65
2002,4.53
2003,4.0
2004,4.49
2005,5.44
