date,mean autumn surface oxygen concentration
1972,9.01
1974,9.04
1975,9.61
1976,10.65
1977,9.57
1978,8.27
1979,8.94
1980,10.4
1981,9.79
1982,9.49
1983,9.88
1984,9.71
1985,10.2
1986,11.11
1987,9.54
1988,9.46
1989,8.24
1990,9.42
1991,8.9
1992,9.4
1993,9.36
1994,10.28
1995,8.94
1996,9.29
1997,9.58
1998,9.1
1999,7.84
2000,9.02
2001,9.8
2002,9.11
2003,8.97
2004,10.0
2005,9.18
2006,9.33
2007,9.23
2008,9.35
2009,9.04
2010,10.03
2011,9.47
2012,9.78
2013,9.33
2014,9.23
2015,9.82
2016,9.2
2017,9.27
2018,8.6
2019,9.2
2020,9.7
2021,9.13
2022,8.74
2023,9.03
