date,mean early autumn thermocline depth
1972,13.28
1973,8.87
1974,11.07
1975,22.89
1976,13.86
1977,20.52
1978,22.69
1979,7.99
1980,15.26
1981,2.5
1982,6.8
1983,12.69
1984,11.85
1985,3.71
1986,13.68
1987,9.99
1988,14.91
1989,13.78
1990,11.77
1991,8.54
1992,16.26
1993,19.37
1994,14.72
1995,23.96
1996,15.44
1997,10.79
1998,17.18
1999,7.88
2000,14.47
2001,13.5
2002,19.65
2003,10.0
2004,5.66
2005,9.6
2006,5.62
2007,7.58
2008,9.33
2009,17.03
2010,21.05
2011,7.79
2012,14.43
2013,12.37
2014,15.64
2015,12.2
2016,5.06
2017,14.32
2018,12.77
2019,7.89
2020,14.59
2021,6.71
2022,10.83
2023,6.09
