date,mean spring epilimnion 0-5 m oxygen concentration
1972,12.98
1973,11.73
1974,13.62
1975,12.6
1976,15.19
1977,12.42
1978,12.63
1979,11.74
1980,13.06
1981,14.08
1982,13.62
1983,13.0
1984,12.4
1985,12.18
1986,12.25
1987,11.88
1988,12.5
1989,12.68
1990,13.13
1991,12.2
1992,11.72
1993,11.72
1994,11.62
1995,11.75
1996,11.94
1997,11.5
1998,11.56
1999,12.26
2000,11.55
2001,11.71
2002,11.35
2003,12.48
2004,12.25
2005,11.69
2006,12.54
2007,10.99
2008,11.55
2009,11.88
2010,11.85
2011,11.72
2012,11.78
2013,11.98
2014,11.71
2015,12.04
2016,11.71
2017,11.48
2018,11.59
2019,12.45
2020,11.2
2021,12.44
2022,11.83
2023,11.16
