date,mean autumn epilimnion 5-10 m oxygen concentration
1972,8.68
1974,8.81
1975,8.47
1976,7.8
1977,9.53
1978,8.32
1979,8.02
1980,7.46
1981,8.41
1982,6.97
1983,7.44
1984,8.41
1985,6.4
1986,6.48
1987,8.34
1988,7.99
1989,8.04
1990,8.17
1991,7.11
1992,8.56
1993,9.32
1994,8.62
1995,8.88
1996,9.2
1997,8.12
1998,8.56
1999,8.34
2000,7.75
2001,9.19
2002,8.1
2003,8.43
2004,8.4
2005,8.93
2006,8.63
2007,8.61
2008,8.5
2009,8.2
2010,9.22
2011,8.73
2012,8.1
2013,8.19
2014,8.68
2015,8.67
2016,7.23
2017,8.71
2018,8.25
2019,8.42
2020,8.51
2021,8.62
2022,7.5
2023,7.86
