date,mean winter bottom oxygen concentration
1972,8.4
1973,8.63
1974,9.57
1975,10.19
1976,9.87
1977,9.64
1978,11.34
1979,10.71
1980,10.71
1981,10.86
1982,10.22
1983,9.74
1984,10.32
1985,9.94
1986,10.11
1987,9.81
1988,9.57
1989,8.1
1990,9.77
1991,8.51
1992,9.73
1993,10.34
1994,11.06
1995,9.91
1996,8.64
1997,9.44
1998,10.16
1999,9.55
2000,10.74
2001,8.35
2002,10.38
2003,10.6
2004,10.42
2005,9.37
