date,mean early autumn hypolimnetic oxygen concentration
1972,2.99
1973,2.24
1974,3.23
1975,4.8
1976,1.83
1977,2.58
1978,2.96
1979,2.2
1980,3.11
1981,2.21
1982,2.59
1983,1.99
1984,3.04
1985,2.13
1986,2.39
1987,3.53
1988,2.05
1989,1.74
1990,1.64
1991,2.76
1992,2.41
1993,2.53
1994,2.47
1995,4.23
1996,3.77
1997,2.32
1998,2.23
1999,3.91
2000,3.27
2001,4.23
2002,2.25
2003,2.35
2004,3.49
2005,4.29
2006,3.46
2007,2.81
2008,3.88
2009,3.11
2010,4.53
2011,3.42
2012,3.36
2013,3.92
2014,3.17
2015,2.98
2016,2.99
2017,2.43
2018,2.63
2019,2.59
2020,3.66
2021,4.0
2022,2.64
2023,3.39
