date,mean summer bottom temperature
1972,5.83
1973,5.4
1974,4.84
1975,5.28
1976,4.95
1977,6.87
1978,5.7
1979,5.75
1980,6.12
1981,5.38
1982,6.09
1983,6.47
1984,5.36
1985,6.61
1986,5.3
1987,5.13
1988,5.22
1989,5.97
1990,5.94
1991,4.91
1992,5.83
1993,5.65
1994,7.12
1995,5.84
1996,5.51
1997,6.5
1998,6.24
1999,5.05
2000,5.48
2001,6.27
2002,6.56
2003,5.65
2004,5.44
2005,4.87
