date,mean spring epilimnion 0-10 m oxygen concentration
1972,12.46
1973,11.67
1974,12.95
1975,12.5
1976,14.46
1977,12.33
1978,12.42
1979,11.65
1980,12.88
1981,13.48
1982,13.63
1983,12.6
1984,12.44
1985,12.05
1986,12.11
1987,11.84
1988,12.17
1989,12.31
1990,12.76
1991,12.06
1992,11.6
1993,11.69
1994,11.55
1995,11.59
1996,11.88
1997,11.45
1998,11.5
1999,12.09
2000,11.5
2001,11.63
2002,11.42
2003,12.6
2004,12.28
2005,11.69
2006,12.53
2007,11.52
2008,11.4
2009,11.91
2010,11.97
2011,12.22
2012,11.84
2013,11.89
2014,11.63
2015,11.88
2016,11.7
2017,11.49
2018,11.68
2019,12.32
2020,11.52
2021,12.41
2022,11.88
2023,11.08
